#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 03-20-2025, analyzed on 03-21-2025.
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#    - Excess micromotion time dilation: -1.6503e-19+/-8.0284e-20
#    - Secular motion time dilation: -1.1588e-17+/-5.0847e-19
#    - AC Zeeman: -5.3523e-20+/-5.9767e-21
#    - Blackbody radiation: -3.0686e-18+/-1.6949e-19
#    - Clock light Stark: 0+/-8.0284e-20
#    - Background gas: -3.0686e-20+/-1.6949e-19
#    - AOM phase chirp: 0+/-8.9205e-20
#    - Gravitational redshift: 1.5022e-16+/-3.3006e-19
#    - Fiber noise glitches: 0+/-0
#    - 1st-order Doppler: 0+/-1.7841e-19
#  First 300 seconds and last 60 seconds of lock times removed.  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#  Total lock duration: 16379.3845 s
#  Servo parameters:
#    Contrast: Probe -1: 0.81 Probe +1:0.84
#    Servo Error: 0.00046+/-0.0059 Hz
#    Difference between probe beams: -0.00596+/-0.0077 Hz
#  Feedback and drift rate compensation applied to fiber-noise aom for ErYb    Nominal AOM frequency: 37 MHz
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.68949+/-0.00023 Hz
#  Cooling laser Stark shift based on interleaved saturation parameter calibration.   Delta_Stark_280 = -0.00484+/-0.00022 Hz
#  Total shift (static components + 2nd-order Zeeman shift)    df = -0.54263+/-0.00084 Hz
t_mjd	f_shift [Hz]	IS_GOOD
60754.2500000	204500000.004835	0
60754.2500116	204500000.004835	0
60754.2500231	204500000.004835	0
60754.2500347	204500000.004835	0
60754.2500463	204500000.004835	0
60754.2500579	204500000.004835	0
60754.2500694	204500000.004835	0
60754.2500810	204500000.004835	0
60754.2500926	204500000.004835	0
60754.2501042	204500000.004835	0
60754.2501157	204500000.004835	0
60754.2501273	204500000.004835	0
60754.2501389	204500000.004835	0
60754.2501505	204500000.004835	0
60754.2501620	204500000.004835	0
60754.2501736	204500000.004835	0
60754.2501852	204500000.004835	0
60754.2501968	204500000.004835	0
60754.2502083	204500000.004835	0
60754.2502199	204500000.004835	0
60754.2502315	204500000.004835	0
60754.2502431	204500000.004835	0
60754.2502546	204500000.004835	0
60754.2502662	204500000.004835	0
60754.2502778	204500000.004835	0
60754.2502894	204500000.004835	0
60754.2503009	204500000.004835	0
60754.2503125	204500000.004835	0
60754.2503241	204500000.004835	0
60754.2503356	204500000.004835	0
60754.2503472	204500000.004835	0
60754.2503588	204500000.004835	0
60754.2503704	204500000.004835	0
60754.2503819	204500000.004835	0
60754.2503935	204500000.004835	0
60754.2504051	204500000.004835	0
60754.2504167	204500000.004835	0
60754.2504282	204500000.004835	0
60754.2504398	204500000.004835	0
60754.2504514	204500000.004835	0
60754.2504630	204500000.004835	0
60754.2504745	204500000.004835	0
60754.2504861	204500000.004835	0
60754.2504977	204500000.004835	0
60754.2505093	204500000.004835	0
60754.2505208	204500000.004835	0
60754.2505324	204500000.004835	0
60754.2505440	204500000.004835	0
60754.2505556	204500000.004835	0
60754.2505671	204500000.004835	0
60754.2505787	204500000.004835	0
60754.2505903	204500000.004835	0
60754.2506019	204500000.004835	0
60754.2506134	204500000.004835	0
60754.2506250	204500000.004835	0
60754.2506366	204500000.004835	0
60754.2506481	204500000.004835	0
60754.2506597	204500000.004835	0
60754.2506713	204500000.004835	0
60754.2506829	204500000.004835	0
60754.2506944	204500000.004835	0
60754.2507060	204500000.004835	0
60754.2507176	204500000.004835	0
60754.2507292	204500000.004835	0
60754.2507407	204500000.004835	0
60754.2507523	204500000.004835	0
60754.2507639	204500000.004835	0
60754.2507755	204500000.004835	0
60754.2507870	204500000.004835	0
