File ClockOutputData2020_7_NoCorr.dat generated using ClockLSA, version 1.0 on 17-Mar-2021 12:01:23 
Operator: Helen Margolis 

Input data:

Number of adjusted frequency ratios = 14 
Starting values: 
s1 	1.02787582346 
s2 	1.09255511496 
s3 	1.00674379464 
s4 	1.05287183314 
s5 	1.54675342648 
s6 	1.07200737363 
s7 	1.23890923183 
s8 	1.13664797435 
s9 	1.02519722218 
s10 	1.03623010444 
s11 	1.00000014488 
s12 	1.04424333452 
s13 	60140.6317128 
s14 	0.743495745495 

Number of measured frequency ratios = 106 
ID 	Type 		Value 			Uncertainty 	Reference
q1 	nu1 		1267402452899920.0 	6.900000e+02 	[vonZanthier2000,Uncertx3]
q2 	nu1 		1267402452901265.0 	2.560000e+02 	[Wang2007a]
q3 	nu1 		1267402452901049.8 	7.500000e+00 	[Ohtsubo2017]
q4 	nu2 		1233030706593517.5 	5.000000e+00 	[Parthey2011]
q5 	nu2 		1233030706593509 	5.500000e+00 	[Matveev2013]
q6 	nu3 		1128575290808155.1 	6.400000e+00 	[McFerran2012,corrected2015]
q7 	nu3 		1128575290808154.62 	4.100000e-01 	[Tyumenev2016]
q8 	nu4 		1121015393207851.0 	6.000000e+00 	[Rosenband2007]
q9 	nu5 		1064721609899145.30 	6.900000e-01 	[Stalnaker2007]
q10 	nu6 		688358979309308.0 	2.140000e+00 	[12thCCL]
q11 	nu6 		688358979309306.97 	7.300000e-01 	[Tamm2009BBRcorrected]
q12 	nu6 		688358979309310.0 	9.000000e+00 	[Webster2010]
q13 	nu6 		688358979309307.82 	3.600000e-01 	[Tamm2014]
q14 	nu6 		688358979309308.42 	4.200000e-01 	[Godun2014]
q15 	nu7 		642121496772657.0 	1.200000e+01 	[Hosaka2009]
q16 	nu7 		642121496772645.15 	5.200000e-01 	[Huntemann2012]
q17 	nu7 		642121496772646.22 	6.700000e-01 	[King2012]
q18 	nu7 		642121496772644.91 	3.700000e-01 	[Godun2014]
q19 	nu7 		642121496772645.36 	2.500000e-01 	[Huntemann2014]
q20 	nu8 		518295836590864.0 	2.800000e+01 	[Kohno2009]
q21 	nu8 		518295836590863.1 	2.000000e+00 	[Yasuda2012]
q22 	nu8 		518295836590865.2 	7.000000e-01 	[Lemke2009]
q23 	nu8 		518295836590863.5 	8.100000e+00 	[Park2013]
q24 	nu8 		518295836590863.59 	3.100000e-01 	[Pizzocaro2017]
q25 	nu8 		518295836590863.38 	5.700000e-01 	[Kim2017]
q26 	nu9 		455986240494144.0 	5.300000e+00 	[Degenhardt2005]
q27 	nu9 		455986240494135.8 	3.400000e+00 	[Wilpers2006,Wilpers2007]
q28 	nu10 		444779044095484.6 	1.500000e+00 	[Margolis2004]
q29 	nu10 		444779044095484.0 	1.500000e+01 	[Dube2005]
q30 	nu10 		444779044095485.5 	9.000000e-01 	[Madej2012]
q31 	nu10 		444779044095486.71 	3.600000e-01 	[Barwood2014,Uncertx1.5]
q32 	nu10 		444779044095485.27 	7.500000e-01 	[Dube2017]
q33 	nu11 		429228066418009.0 	3.200000e+01 	[Baillard2007]
q34 	nu11 		429228066418008.3 	2.100000e+00 	[Morzynski2015SrI]
q35 	nu11 		429228066418007.3 	2.900000e+00 	[Morzynski2015SrII]
q36 	nu12 		429228004229874.0 	1.100000e+00 	[Boyd2007]
q37 	nu12 		429228004229873.65 	3.700000e-01 	[Campbell2008]
q38 	nu12 		429228004229873.6 	1.100000e+00 	[Baillard2008]
q39 	nu12 		429228004229874.1 	2.400000e+00 	[Hong2009]
