#Frequency shifts file for TiSapph measurement of Al+ frequency
#  Data recorded on 01-24-2025, analyzed on 01-28-2025.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 300 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 6789.274 s
#
#  Servo parameters:
#    Contrast: Probe -1: 0.79 Probe +1:0.77
#    Servo Error: 4.75e-05+/-0.01 Hz
#    Difference between probe beams: 0.00646+/-0.013 Hz
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#    Delta_ZS2 = -0.71772+/-0.00024 Hz
#
t_mjd	f_shift [Hz]	IS_GOOD
60699.2916667	252500000.000000	0
60699.2916782	252500000.000000	0
60699.2916898	252500000.000000	0
60699.2917014	252500000.000000	0
60699.2917130	252500000.000000	0
60699.2917245	252500000.000000	0
60699.2917361	252500000.000000	0
60699.2917477	252500000.000000	0
60699.2917593	252500000.000000	0
60699.2917708	252500000.000000	0
60699.2917824	252500000.000000	0
60699.2917940	252500000.000000	0
60699.2918056	252500000.000000	0
60699.2918171	252500000.000000	0
60699.2918287	252500000.000000	0
60699.2918403	252500000.000000	0
60699.2918519	252500000.000000	0
60699.2918634	252500000.000000	0
60699.2918750	252500000.000000	0
60699.2918866	252500000.000000	0
60699.2918981	252500000.000000	0
60699.2919097	252500000.000000	0
60699.2919213	252500000.000000	0
60699.2919329	252500000.000000	0
60699.2919444	252500000.000000	0
60699.2919560	252500000.000000	0
60699.2919676	252500000.000000	0
60699.2919792	252500000.000000	0
60699.2919907	252500000.000000	0
60699.2920023	252500000.000000	0
60699.2920139	252500000.000000	0
60699.2920255	252500000.000000	0
60699.2920370	252500000.000000	0
60699.2920486	252500000.000000	0
60699.2920602	252500000.000000	0
60699.2920718	252500000.000000	0
60699.2920833	252500000.000000	0
60699.2920949	252500000.000000	0
60699.2921065	252500000.000000	0
60699.2921181	252500000.000000	0
60699.2921296	252500000.000000	0
60699.2921412	252500000.000000	0
60699.2921528	252500000.000000	0
60699.2921644	252500000.000000	0
60699.2921759	252500000.000000	0
60699.2921875	252500000.000000	0
60699.2921991	252500000.000000	0
60699.2922106	252500000.000000	0
60699.2922222	252500000.000000	0
60699.2922338	252500000.000000	0
60699.2922454	252500000.000000	0
60699.2922569	252500000.000000	0
60699.2922685	252500000.000000	0
60699.2922801	252500000.000000	0
60699.2922917	252500000.000000	0
60699.2923032	252500000.000000	0
60699.2923148	252500000.000000	0
60699.2923264	252500000.000000	0
60699.2923380	252500000.000000	0
60699.2923495	252500000.000000	0
60699.2923611	252500000.000000	0
60699.2923727	252500000.000000	0
60699.2923843	252500000.000000	0
60699.2923958	252500000.000000	0
60699.2924074	252500000.000000	0
60699.2924190	252500000.000000	0
60699.2924306	252500000.000000	0
60699.2924421	252500000.000000	0
60699.2924537	252500000.000000	0
60699.2924653	252500000.000000	0
60699.2924769	252500000.000000	0
60699.2924884	252500000.000000	0
60699.2925000	252500000.000000	0
60699.2925116	252500000.000000	0
60699.2925231	252500000.000000	0
60699.2925347	252500000.000000	0
60699.2925463	252500000.000000	0
60699.2925579	252500000.000000	0
60699.2925694	252500000.000000	0
60699.2925810	252500000.000000	0
60699.2925926	252500000.000000	0
60699.2926042	252500000.000000	0
60699.2926157	252500000.000000	0
60699.2926273	252500000.000000	0
60699.2926389	252500000.000000	0
60699.2926505	252500000.000000	0
60699.2926620	252500000.000000	0
60699.2926736	252500000.000000	0
60699.2926852	252500000.000000	0
60699.2926968	252500000.000000	0
60699.2927083	252500000.000000	0
60699.2927199	252500000.000000	0
60699.2927315	252500000.000000	0
60699.2927431	252500000.000000	0
60699.2927546	252500000.000000	0
60699.2927662	252500000.000000	0
60699.2927778	252500000.000000	0
60699.2927894	252500000.000000	0
60699.2928009	252500000.000000	0
60699.2928125	252500000.000000	0
60699.2928241	252500000.000000	0
60699.2928356	252500000.000000	0
60699.2928472	252500000.000000	0
60699.2928588	252500000.000000	0
60699.2928704	252500000.000000	0
60699.2928819	252500000.000000	0
60699.2928935	252500000.000000	0
60699.2929051	252500000.000000	0
60699.2929167	252500000.000000	0
60699.2929282	252500000.000000	0
60699.2929398	252500000.000000	0
60699.2929514	252500000.000000	0
60699.2929630	252500000.000000	0
60699.2929745	252500000.000000	0
60699.2929861	252500000.000000	0
60699.2929977	252500000.000000	0
60699.2930093	252500000.000000	0
60699.2930208	252500000.000000	0
60699.2930324	252500000.000000	0
60699.2930440	252500000.000000	0
60699.2930556	252500000.000000	0
60699.2930671	252500000.000000	0
60699.2930787	252500000.000000	0
60699.2930903	252500000.000000	0
60699.2931019	252500000.000000	0
60699.2931134	252500000.000000	0
60699.2931250	252500000.000000	0
60699.2931366	252500000.000000	0
60699.2931481	252500000.000000	0
60699.2931597	252500000.000000	0
60699.2931713	252500000.000000	0
60699.2931829	252500000.000000	0
60699.2931944	252500000.000000	0
60699.2932060	252500000.000000	0
60699.2932176	252500000.000000	0
60699.2932292	252500000.000000	0
60699.2932407	252500000.000000	0
60699.2932523	252500000.000000	0
60699.2932639	252500000.000000	0
60699.2932755	252500000.000000	0
60699.2932870	252500000.000000	0
60699.2932986	252500000.000000	0
60699.2933102	252500000.000000	0
60699.2933218	252500000.000000	0
60699.2933333	252500000.000000	0
60699.2933449	252500000.000000	0
60699.2933565	252500000.000000	0
60699.2933681	252500000.000000	0
60699.2933796	252500000.000000	0
60699.2933912	252500000.000000	0
60699.2934028	252500000.000000	0
60699.2934144	252500000.000000	0
60699.2934259	252500000.000000	0
60699.2934375	252500000.000000	0
60699.2934491	252500000.000000	0
60699.2934606	252500000.000000	0
60699.2934722	252500000.000000	0
60699.2934838	252500000.000000	0
60699.2934954	252500000.000000	0
60699.2935069	252500000.000000	0
60699.2935185	252500000.000000	0
60699.2935301	252500000.000000	0
60699.2935417	252500000.000000	0
60699.2935532	252500000.000000	0
60699.2935648	252500000.000000	0
60699.2935764	252500000.000000	0
60699.2935880	252500000.000000	0
60699.2935995	252500000.000000	0
60699.2936111	252500000.000000	0
60699.2936227	252500000.000000	0
60699.2936343	252500000.000000	0
60699.2936458	252500000.000000	0
60699.2936574	252500000.000000	0
60699.2936690	252500000.000000	0
60699.2936806	252500000.000000	0
60699.2936921	252500000.000000	0
60699.2937037	252500000.000000	0
60699.2937153	252500000.000000	0
60699.2937269	252500000.000000	0
60699.2937384	252500000.000000	0
60699.2937500	252500000.000000	0
60699.2937616	252500000.000000	0
60699.2937731	252500000.000000	0
60699.2937847	252500000.000000	0
60699.2937963	252500000.000000	0
60699.2938079	252500000.000000	0
60699.2938194	252500000.000000	0
60699.2938310	252500000.000000	0
60699.2938426	252500000.000000	0
60699.2938542	252500000.000000	0
60699.2938657	252500000.000000	0
60699.2938773	252500000.000000	0
60699.2938889	252500000.000000	0
60699.2939005	252500000.000000	0
60699.2939120	252500000.000000	0
60699.2939236	252500000.000000	0
60699.2939352	252500000.000000	0
60699.2939468	252500000.000000	0
60699.2939583	252500000.000000	0
60699.2939699	252500000.000000	0
60699.2939815	252500000.000000	0
60699.2939931	252500000.000000	0
60699.2940046	252500000.000000	0
60699.2940162	252500000.000000	0
60699.2940278	252500000.000000	0
60699.2940394	252500000.000000	0
60699.2940509	252500000.000000	0
60699.2940625	252500000.000000	0
60699.2940741	252500000.000000	0
60699.2940856	252500000.000000	0
60699.2940972	252500000.000000	0
60699.2941088	252500000.000000	0
60699.2941204	252500000.000000	0
60699.2941319	252500000.000000	0
60699.2941435	252500000.000000	0
60699.2941551	252500000.000000	0
60699.2941667	252500000.000000	0
60699.2941782	252500000.000000	0
60699.2941898	252500000.000000	0
60699.2942014	252500000.000000	0
60699.2942130	252500000.000000	0
60699.2942245	252500000.000000	0
60699.2942361	252500000.000000	0
60699.2942477	252500000.000000	0
60699.2942593	252500000.000000	0
60699.2942708	252500000.000000	0
60699.2942824	252500000.000000	0
60699.2942940	252500000.000000	0
60699.2943056	252500000.000000	0
60699.2943171	252500000.000000	0
60699.2943287	252500000.000000	0
60699.2943403	252500000.000000	0
60699.2943519	252500000.000000	0
60699.2943634	252500000.000000	0
60699.2943750	252500000.000000	0
60699.2943866	252500000.000000	0
60699.2943981	252500000.000000	0
60699.2944097	252500000.000000	0
60699.2944213	252500000.000000	0
60699.2944329	252500000.000000	0
60699.2944444	252500000.000000	0
60699.2944560	252500000.000000	0
60699.2944676	252500000.000000	0
60699.2944792	252500000.000000	0
60699.2944907	252500000.000000	0
60699.2945023	252500000.000000	0
60699.2945139	252500000.000000	0
60699.2945255	252500000.000000	0
60699.2945370	252500000.000000	0
60699.2945486	252500000.000000	0
60699.2945602	252500000.000000	0
60699.2945718	252500000.000000	0
60699.2945833	252500000.000000	0
60699.2945949	252500000.000000	0
60699.2946065	252500000.000000	0
60699.2946181	252500000.000000	0
60699.2946296	252500000.000000	0
60699.2946412	252500000.000000	0
60699.2946528	252500000.000000	0
60699.2946644	252500000.000000	0
60699.2946759	252500000.000000	0
60699.2946875	252500000.000000	0
